beta,se,ci_low,ci_high,p_raw,dimension,panel,group_code,group_name,comparison,p_holm
1.8600568558175352,0.1740924419728473,1.5188356695507546,2.201278042084316,1.2054776361652686e-26,Correctness/reliability,Expert,2,RAG,RAG vs clinic physicians,2.652050799563591e-25
0.6501083389969524,0.17427981999527345,0.3085198918062165,0.9916967861876884,0.00019128533571176104,Correctness/reliability,Parent,2,RAG,RAG vs clinic physicians,0.0005738560071352831
1.683213778854457,0.17383342536942575,1.3425002651303826,2.0239272925785317,3.5641634845489818e-22,Correctness/reliability,Expert,3,RAG+Focus,RAG+Focus vs clinic physicians,6.771910620643066e-21
0.6331121763454834,0.17414091712232724,0.29179597878572205,0.9744283739052448,0.0002773006627538643,Correctness/reliability,Parent,3,RAG+Focus,RAG+Focus vs clinic physicians,0.0005738560071352831
1.710147046115324,0.15479366876715778,1.4067514553316949,2.0135426368989533,2.2436925827874263e-28,Clarity,Expert,2,RAG,RAG vs clinic physicians,5.160492940411081e-27
0.7534706205681455,0.15500438309736725,0.44966202969730573,1.0572792114389853,1.1681589960571233e-06,Clarity,Parent,2,RAG,RAG vs clinic physicians,8.177112972399862e-06
1.5220878082583085,0.15449746924043886,1.2192727685470484,1.8249028479695686,6.728543473187897e-23,Clarity,Expert,3,RAG+Focus,RAG+Focus vs clinic physicians,1.3457086946375794e-21
0.8765522098711616,0.154850358119854,0.5730455079562478,1.1800589117860754,1.5080905160782822e-08,Clarity,Parent,3,RAG+Focus,RAG+Focus vs clinic physicians,1.6588995676861105e-07
2.0386837305726684,0.17245095309215494,1.7006798625120447,2.376687598633292,3.0109819301916475e-32,Completeness,Expert,2,RAG,RAG vs clinic physicians,7.226356632459954e-31
1.0604079200158973,0.1726468441912331,0.7220201054010804,1.3987957346307143,8.145616073090132e-10,Completeness,Parent,2,RAG,RAG vs clinic physicians,9.774739287708158e-09
1.7972106202030926,0.1721747820707361,1.45974804734445,2.1346731930617353,1.6576661492611046e-25,Completeness,Expert,3,RAG+Focus,RAG+Focus vs clinic physicians,3.4810989134483195e-24
1.1851339118262536,0.17250267286179866,0.8470286730171283,1.523239150635379,6.409619816077457e-12,Completeness,Parent,3,RAG+Focus,RAG+Focus vs clinic physicians,8.97346774250844e-11
1.487154996604737,0.16010029561341962,1.1733584172024347,1.8009515760070394,1.5589688981014103e-20,Empathy,Expert,2,RAG,RAG vs clinic physicians,2.8061440165825384e-19
0.881833992985913,0.16030693936026172,0.5676323918398001,1.196035594132026,3.7783675626734086e-08,Empathy,Parent,2,RAG,RAG vs clinic physicians,3.7783675626734084e-07
1.3820405766882418,0.15981238588560356,1.0688083003524587,1.6952728530240249,5.245851257262714e-18,Empathy,Expert,3,RAG+Focus,RAG+Focus vs clinic physicians,8.917947137346613e-17
1.0156480009487323,0.16015679675170788,0.7017406793153849,1.3295553225820798,2.274126651727995e-10,Empathy,Parent,3,RAG+Focus,RAG+Focus vs clinic physicians,2.9563646472463936e-09
1.4622729566255726,0.17859357618876878,1.1122295472955859,1.8123163659555592,2.662366361135207e-16,Fair and nonmisleading,Expert,2,RAG,RAG vs clinic physicians,4.259786177816331e-15
0.8831383961125907,0.17878916668696682,0.5327116294061358,1.2335651628190456,7.830223806550272e-07,Fair and nonmisleading,Parent,2,RAG,RAG vs clinic physicians,6.264179045240218e-06
1.3055629120395236,0.17832420926031842,0.9560474618892995,1.6550783621897476,2.4560190187416137e-13,Fair and nonmisleading,Expert,3,RAG+Focus,RAG+Focus vs clinic physicians,3.684028528112421e-12
0.9760664917038939,0.1786479963436824,0.6259164188702764,1.3262165645375115,4.664962445270905e-08,Fair and nonmisleading,Parent,3,RAG+Focus,RAG+Focus vs clinic physicians,4.1984662007438147e-07
0.4873924502503967,0.10258042331907,0.28633482054501946,0.6884500799557739,2.0209268815723736e-06,Perceived absence of bias,Expert,2,RAG,RAG vs clinic physicians,1.2125561289434243e-05
0.32020227238842913,0.10276323189729822,0.11878633786972462,0.5216182069071337,0.001833704215516671,Perceived absence of bias,Parent,2,RAG,RAG vs clinic physicians,0.001833704215516671
0.4246305972139194,0.10232567820169884,0.22407226793858964,0.6251889264892492,3.327730334753375e-05,Perceived absence of bias,Expert,3,RAG+Focus,RAG+Focus vs clinic physicians,0.000133109213390135
0.4313193881899382,0.10263262006856537,0.2301594528555501,0.6324793235243263,2.639173055755357e-05,Perceived absence of bias,Parent,3,RAG+Focus,RAG+Focus vs clinic physicians,0.00013195865278776785
